id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3451,KCID,medium_airport,The Eastern Iowa Airport,41.884701,-91.7108,869,NA,United States,US,Iowa,US-IA,IA,Cedar Rapids,1,KCID,CID,CID,,https://en.wikipedia.org/wiki/The_Eastern_Iowa_Airport,Cedar Rapids Municipal,750,2021-11-20T15:30:19+00:00
3452,KCIU,medium_airport,Chippewa County International Airport,46.25080109,-84.47239685,800,NA,United States,US,Michigan,US-MI,MI,Sault Ste Marie,1,KCIU,CIU,CIU,,https://en.wikipedia.org/wiki/Chippewa_County_International_Airport,,750,2008-06-13T14:30:04+00:00
3453,KCKB,medium_airport,North Central West Virginia Airport,39.2966,-80.228104,1217,NA,United States,US,West Virginia,US-WV,WV,Bridgeport,1,KCKB,CKB,CKB,,https://en.wikipedia.org/wiki/Harrison/Marion_Regional_Airport,,750,2022-11-02T11:51:30+00:00
3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012,-81.84980011,791,NA,United States,US,Ohio,US-OH,OH,Cleveland,1,KCLE,CLE,CLE,http://www.clevelandairport.com/,https://en.wikipedia.org/wiki/Cleveland_Hopkins_International_Airport,,1015875,2010-10-22T20:04:02+00:00
3455,KCLL,medium_airport,Easterwood Field,30.58860016,-96.36380005,320,NA,United States,US,Texas,US-TX,TX,College Station,1,KCLL,CLL,CLL,,https://en.wikipedia.org/wiki/Easterwood_Airport,,750,2010-01-23T11:27:48+00:00
3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,748,NA,United States,US,North Carolina,US-NC,NC,Charlotte,1,KCLT,CLT,CLT,http://www.charlotteairport.com/,https://en.wikipedia.org/wiki/Charlotte/Douglas_International_Airport,,1028075,2009-01-30T14:52:52+00:00
3458,KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,815,NA,United States,US,Ohio,US-OH,OH,Columbus,1,KCMH,CMH,CMH,https://flycolumbus.com/,https://en.wikipedia.org/wiki/Port_Columbus_International_Airport,,1675,2018-04-19T16:19:05+00:00
3459,KCMI,medium_airport,University of Illinois Willard Airport,40.039819,-88.276249,755,NA,United States,US,Illinois,US-IL,IL,Savoy,1,KCMI,CMI,CMI,,https://en.wikipedia.org/wiki/University_of_Illinois_Willard_Airport,"Champaign, Urbana",750,2022-03-04T14:23:50+00:00
3460,KCMX,medium_airport,Houghton County Memorial Airport,47.16839981,-88.4890976,1095,NA,United States,US,Michigan,US-MI,MI,Hancock,1,KCMX,CMX,CMX,,https://en.wikipedia.org/wiki/Houghton_County_Memorial_Airport,,750,2008-06-13T14:30:04+00:00
19530,KCOD,medium_airport,Yellowstone Regional Airport,44.520199,-109.024002,5102,NA,United States,US,Wyoming,US-WY,WY,Cody,1,KCOD,COD,COD,http://www.flyyra.com/,https://en.wikipedia.org/wiki/Yellowstone_Regional_Airport,,500,2023-04-11T01:49:42+00:00
3463,KCOS,medium_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,NA,United States,US,Colorado,US-CO,CO,Colorado Springs,1,KCOS,COS,COS,https://flycos.coloradosprings.gov/,https://en.wikipedia.org/wiki/Colorado_Springs_Airport,,750,2021-11-22T14:14:00+00:00
3464,KCOU,medium_airport,Columbia Regional Airport,38.8181,-92.219597,889,NA,United States,US,Missouri,US-MO,MO,Columbia,1,KCOU,COU,COU,,https://en.wikipedia.org/wiki/Columbia_Regional_Airport,,750,2019-08-14T08:20:26+00:00
3465,KCPR,medium_airport,Casper-Natrona County International Airport,42.908001,-106.463997,5350,NA,United States,US,Wyoming,US-WY,WY,Casper,1,KCPR,CPR,CPR,,https://en.wikipedia.org/wiki/Natrona_County_International_Airport,,750,2018-12-27T21:30:47+00:00
